Emmitsburg,Thurmont,Sabillasville,Catcotine Furnace,Lewistown,Rocky Ridge,Ladiesburg,Woodsboro,Creagerstown,Walkersville,Mount Pleasant,Johnsville,LibertyTown,Riverside,Wormans Mill,Fort Detrick,Braddock Heights,Middletown,Myersville,Wolfsville,Linganore,New Market,Green Valley,Ijamsville,Monrovia,Urbana,Ballenger Creek,Buckeystown,Frederick Central,Frederick North,Jefferson,Rosemont,Bunswick,New nodeIncID78,Burkittsville,Lilypons,Adamstown,Point of Rocks,Tuscarora,Hyattstown,TO_DC,Mount Airy,Spring Ridge
Emmitsburg,Thurmont,8.6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thurmont,Emmitsburg,8.6,13,Rocky Ridge,7.4,13,Catcotine Furnace,4.7,5,Sabillasville,6.8,11,Creagerstown,4.8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabillasville,Thurmont,6.8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catcotine Furnace,Thurmont,4.7,5,Lewistown,2.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewistown,Wormans Mill,7.6,7,Catcotine Furnace,2.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Ridge,Ladiesburg,4.4,7,Thurmont,7.4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladiesburg,Rocky Ridge,4.4,7,Woodsboro,3.9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodsboro,Creagerstown,3.7,5,Ladiesburg,3.9,5,LibertyTown,4.9,7,Walkersville,4.5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creagerstown,Woodsboro,3.7,5,Thurmont,4.8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walkersville,Riverside,3.5,7,Woodsboro,4.5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Pleasant,LibertyTown,5,7,Riverside,2.3,3,Linganore,2.9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnsville,LibertyTown,3.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LibertyTown,Woodsboro,4.9,7,Johnsville,3.5,5,Mount Pleasant,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Walkersville,3.5,7,Mount Pleasant,2.3,3,Wormans Mill,1.7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wormans Mill,Lewistown,7.6,7,Frederick North,2,5,Riverside,1.7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Detrick,Frederick North,1.4,6,Braddock Heights,5.2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braddock Heights,Frederick Central,6.7,12,Middletown,4.3,8,Fort Detrick,5.2,14,Myersville,10.6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middletown,Burkittsville,6.1,8,Braddock Heights,4.3,8,Myersville,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myersville,Braddock Heights,10.6,13,Middletown,5,9,Wolfsville,5.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolfsville,Myersville,5.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linganore,Mount Pleasant,2.9,5,New Market,3.6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Market,Mount Airy,5.9,5,Monrovia,3.1,5,Spring Ridge,4,7,Linganore,3.6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Valley,Monrovia,2.6,4,Mount Airy,4.9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ijamsville,Monrovia,4.5,8,Urbana,3,5,Spring Ridge,3.7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monrovia,Green Valley,2.6,4,Ijamsville,4.5,8,New Market,3.1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urbana,Hyattstown,4,7,Buckeystown,5,9,Ijamsville,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballenger Creek,Buckeystown,3.2,6,Frederick Central,2.9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buckeystown,Ballenger Creek,3.2,6,Adamstown,3.1,6,Lilypons,2.7,3,Urbana,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frederick Central,Jefferson,8.5,11,Braddock Heights,6.7,12,Ballenger Creek,2.9,6,Frederick North,1.4,8,Spring Ridge,4.1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frederick North,Fort Detrick,1.4,6,Frederick Central,1.4,8,Wormans Mill,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson,Frederick Central,8.5,11,Rosemont,6.3,8,Point of Rocks,6.9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosemont,Burkittsville,5.2,8,Bunswick,1.1,2,Jefferson,6.3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunswick,Rosemont,1.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkittsville,Rosemont,5.2,8,Middletown,6.1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilypons,Adamstown,1.9,3,Tuscarora,2.9,4,Buckeystown,2.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adamstown,Buckeystown,3.1,6,Point of Rocks,5.7,10,Lilypons,1.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point of Rocks,Adamstown,5.7,10,Tuscarora,4.4,7,Jefferson,6.9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscarora,Point of Rocks,4.4,7,Lilypons,2.9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyattstown,Urbana,4,7,TO_DC,35.2,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO_DC,Hyattstown,35.2,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Airy,New Market,5.9,5,Green Valley,4.9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Ridge,Frederick Central,4.1,6,New Market,4,7,Ijamsville,3.7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
